Run,Biological_materials,HBV_genotype,Percent_HBV_RNA
SRR12424166,Huh7,A,28.822890912
SRR12424167,Huh7,A,28.2868909301
SRR12424168,Huh7,A,21.796715783699998
SRR12424169,Huh7,B,21.986037776099998
SRR12424170,Huh7,B,21.2069501875
SRR12424171,Huh7,B,20.7595869048
SRR12424172,Huh7,C,16.9011725281
SRR12424173,Huh7,C,17.4973209259
SRR12424174,Huh7,C,11.8468116182
SRR12424175,Huh7,D,24.5751027466
SRR12424176,Huh7,D,27.9853544618
SRR12424177,Huh7,D,28.2928031801
SRR074980,Tissue,C,18.5809280274
SRR074986,Tissue,B,5.4020589844
SRR074990,Tissue,C,13.046714062500001
SRR074994,Tissue,C,42.5473296875
SRR074995,Tumor,C,10.1532242188
SRR10365984,PHH,D,14.2583234375
SRR11173816,Tissue,D,19.8621785156
SRR11173817,Tissue,D,25.8270666015
SRR11173818,Tissue,D,20.5440328612
SRR11173819,Tissue,D,16.6975145996
SRR2185787,Tissue,C,15.909431640600001
SRR3140236,Tissue,B,0.6926272461
SRR3140240,Tissue,B,12.9839481202
SRR3140241,Tissue,B,9.0888036011
SRR3140242,Tissue,B,9.089949231
SRR3140243,Tissue,B,8.5472553314
SRR3140245,Tissue,C,83.1828625
SRR3140254,Tissue,C,5.1213095459
SRR3140255,Tissue,C,2.9548808593
SRR3140256,Tissue,C,2.5949077636999998
SRR3140257,Tissue,C,2.1170958008
SRR3140258,Tissue,C,1.5696078736
SRR3140259,Tissue,C,0.5768256348
SRR3140260,Tissue,C,1.1758923462
SRR3140261,Tissue,C,0.799160913
SRR3140262,Tissue,C,0.3037084961
SRR3140263,Tissue,C,0.4528261719
SRR3140264,Tissue,C,5.9309258545
SRR3140265,Tissue,C,4.1192616089000005
SRR3140266,Tissue,C,3.1305857054999997
SRR3140267,Tissue,C,6.3628469116
SRR3140268,Tissue,C,5.8342638183
SRR3140269,Tissue,C,6.311888075100001
SRR3140270,Tissue,C,5.6551524107
SRR3140271,Tissue,C,5.7377939332
SRR3140272,Tissue,C,5.8631488648
SRR3140273,Tissue,C,6.137241217000001
SRR3140274,Tissue,C,11.560067047099999
SRR3140275,Tissue,C,9.1124504151
SRR3140276,Tissue,C,21.709825280700002
SRR3140277,Tissue,C,12.2817873046
SRR3140278,Tissue,C,10.800225146499999
SRR3140280,Tissue,B,0.3011733643
SRR3140281,Tissue,B,1.8830186522999999
SRR3140283,Tissue,B,1.7191045409999999
SRR3140284,Tissue,C,3.6977802979
SRR3140285,Tissue,C,3.8896686584999998
SRR3140286,Tissue,C,3.0684372803
SRR3140287,Tissue,C,3.531981604
SRR3140288,Tissue,C,3.4223456543
SRR3140289,Tissue,C,1.0698936523
SRR3140290,Tissue,C,1.7618649414
SRR3140291,Tissue,C,2.0325641845
SRR3140293,Tissue,C,1.0175181641
SRR3140294,Tissue,C,1.9752070801
SRR3140299,Tissue,B,0.8781126953
SRR3140300,Tissue,B,0.2111510498
SRR3140301,Tissue,B,0.3829586182
SRR3140302,Tissue,B,0.2258738281
SRR3140303,Tissue,C,38.0762315187
SRR3140304,Tissue,C,35.376894336
SRR3140305,Tissue,C,38.3637405395
SRR3140306,Tissue,C,45.3485761962
SRR3140307,Tissue,B,2.6306782897
SRR3140308,Tissue,B,26.8795008301
SRR3140309,Tissue,B,2.2556430725000003
SRR3140310,Tissue,B,1.2062814453000001
SRR3140311,Tissue,C,0.4166286133
SRR3140312,Tissue,C,1.4696830078
SRR3140313,Tissue,C,1.7486488282
SRR3140314,Tissue,C,1.1089671875
SRR3140315,Tissue,C,11.1788552734
SRR3140316,Tissue,C,8.6067489746
SRR3140317,Tissue,C,11.8295083008
SRR3140318,Tissue,C,9.005059960899999
SRR3140319,Tissue,C,6.7758783204
SRR3140320,Tissue,C,2.0261092773
SRR3140321,Tissue,C,1.6694286133
SRR3140322,Tissue,C,1.7656496582
SRR3140323,Tissue,C,1.1494607422
SRR3140324,Tissue,C,2.3101394043
SRR3140326,Tissue,C,0.2365479736
SRR3140327,Tissue,C,0.5748083008
SRR3140328,Tissue,C,0.3573783203
SRR3140329,Tissue,C,0.2253287109
SRR3140330,Tissue,C,1.2164019043
SRR3140336,Tumor,B,14.3286287477
SRR3140337,Tumor,B,20.766767370500002
SRR3140338,Tumor,B,20.910167211900003
SRR3140339,Tumor,B,18.6674958617
SRR3140340,Tumor,B,1.5436504394
SRR3140367,Tumor,C,36.4752730469
SRR3140368,Tumor,C,20.48741875
SRR3140371,Tumor,C,17.7322523438
SRR3140372,Tumor,C,0.8037053223
SRR3140373,Tumor,C,0.9537399414
SRR3140376,Tumor,C,1.4055728516
SRR3140380,Tumor,B,7.0020125
SRR3140381,Tumor,B,1.4996442383
SRR3140387,Tumor,C,0.7420405762
SRR3140394,Tumor,C,1.4341520508
SRR3140400,Tumor,C,97.8147191894
SRR3140401,Tumor,C,97.2271727783
SRR3140402,Tumor,C,97.6426071289
