chrom,start,end,name,name2,strand,Splice site,Splicing efficiency,HBV_genotype,Biological_materials,Transcript ID,coSI,Run
A2_A2_rep1_A,640,642,A2_A2_rep1_A.1.1,TCONS_00000001,+,donor,0.20196,A,Huh7,pSP9,$\theta_5$,SRR12424166
A2_A2_rep1_A,1866,1868,A2_A2_rep1_A.1.1,TCONS_00000001,+,donor,0.00769,A,Huh7,pSP9,$\theta_5$,SRR12424166
A2_A2_rep1_A,664,666,A2_A2_rep1_A.1.10,TCONS_00000002,+,donor,0.00638,A,Huh7,SP6,$\theta_5$,SRR12424166
A2_A2_rep1_A,664,666,A2_A2_rep1_A.1.11,TCONS_00000003,+,donor,0.00638,A,Huh7,SP11,$\theta_5$,SRR12424166
A2_A2_rep1_A,1211,1213,A2_A2_rep1_A.1.12,TCONS_00000004,+,donor,0.10307,A,Huh7,pSP12,$\theta_5$,SRR12424166
A2_A2_rep1_A,640,642,A2_A2_rep1_A.1.2,TCONS_00000008,+,donor,0.20196,A,Huh7,SP7,$\theta_5$,SRR12424166
A2_A2_rep1_A,1211,1213,A2_A2_rep1_A.1.2,TCONS_00000008,+,donor,0.10307,A,Huh7,SP7,$\theta_5$,SRR12424166
A2_A2_rep1_A,664,666,A2_A2_rep1_A.1.3,TCONS_00000009,+,donor,0.00638,A,Huh7,SP18,$\theta_5$,SRR12424166
A2_A2_rep1_A,1211,1213,A2_A2_rep1_A.1.3,TCONS_00000009,+,donor,0.10307,A,Huh7,SP18,$\theta_5$,SRR12424166
A2_A2_rep1_A,640,642,A2_A2_rep1_A.1.6,TCONS_00000012,+,donor,0.20196,A,Huh7,SP1,$\theta_5$,SRR12424166
A2_A2_rep1_A,640,642,A2_A2_rep1_A.1.7,TCONS_00000013,+,donor,0.20196,A,Huh7,SP9,$\theta_5$,SRR12424166
A2_A2_rep1_A,1211,1213,A2_A2_rep1_A.1.8,TCONS_00000014,+,donor,0.10307,A,Huh7,SP14,$\theta_5$,SRR12424166
A2_A2_rep1_A,640,642,A2_A2_rep1_A.1.9,TCONS_00000015,+,donor,0.20196,A,Huh7,SP13,$\theta_5$,SRR12424166
